date,amb_temp,cell_temp,irradiance,dcPower
2017-10-01 00:00:00,12.6,8.7,0.0,0.0
2017-10-01 00:10:00,12.35,8.167,0.0,0.0
2017-10-01 00:20:00,12.367,8.5,0.0,0.0
2017-10-01 00:30:00,12.5,8.65,0.0,0.0
2017-10-01 00:40:00,11.9,8.167,0.0,0.0
2017-10-01 00:50:00,12.0,7.8,0.0,0.0
2017-10-01 01:00:00,12.2,8.05,0.0,0.0
2017-10-01 01:10:00,12.2,8.567,0.0,0.0
2017-10-01 01:20:00,12.2,8.95,0.0,0.0
2017-10-01 01:30:00,12.15,9.1,0.0,0.0
2017-10-01 01:40:00,12.45,9.75,0.0,0.0
2017-10-01 01:50:00,12.5,9.65,0.0,0.0
2017-10-01 02:00:00,12.55,9.65,0.0,0.0
2017-10-01 02:10:00,12.55,9.85,0.0,0.0
2017-10-01 02:20:00,12.2,9.7,0.0,0.0
2017-10-01 02:30:00,12.35,9.7,0.0,0.0
2017-10-01 02:40:00,12.35,9.55,0.0,0.0
2017-10-01 02:50:00,12.45,9.55,0.0,0.0
2017-10-01 03:00:00,12.4,9.4,0.0,0.0
2017-10-01 03:10:00,12.267000000000001,9.4,0.0,0.0
2017-10-01 03:20:00,12.267000000000001,9.567,0.0,0.0
2017-10-01 03:30:00,12.267000000000001,9.65,0.0,0.0
2017-10-01 03:40:00,12.467,9.6,0.0,0.0
2017-10-01 03:50:00,12.567,9.667,0.0,0.0
2017-10-01 04:00:00,12.667,9.75,0.0,0.0
2017-10-01 04:10:00,12.9,9.767000000000001,0.0,0.0
2017-10-01 04:20:00,13.1,9.967,0.0,0.0
2017-10-01 04:30:00,13.1,10.033,0.0,0.0
2017-10-01 04:40:00,13.1,9.85,0.0,0.0
2017-10-01 04:50:00,13.05,9.4,0.0,0.0
2017-10-01 05:00:00,12.75,9.0,0.0,0.0
2017-10-01 05:10:00,12.55,8.4,0.0,0.0
2017-10-01 05:20:00,12.35,8.7,0.0,0.0
2017-10-01 05:30:00,12.1,8.967,1.0,0.0
2017-10-01 05:40:00,12.15,8.867,3.0,0.0
2017-10-01 05:50:00,12.3,8.95,8.0,0.0
2017-10-01 06:00:00,12.2,9.05,13.999999999999998,9.000000000000002
2017-10-01 06:10:00,12.35,9.4,18.000000000000004,0.0
2017-10-01 06:20:00,12.5,9.667,23.0,49.0
2017-10-01 06:30:00,12.75,10.2,50.0,128.0
2017-10-01 06:40:00,13.0,10.6,63.0,165.0
2017-10-01 06:50:00,13.45,11.8,135.0,365.0
2017-10-01 07:00:00,14.05,13.4,153.0,466.0
2017-10-01 07:10:00,14.6,14.95,212.0,708.0
2017-10-01 07:20:00,14.4,14.4,130.0,367.00000000000006
2017-10-01 07:30:00,14.567,13.6,198.99999999999997,569.0
2017-10-01 07:40:00,15.067,15.5,281.0,797.9999999999999
2017-10-01 07:50:00,15.3,15.25,176.00000000000003,477.00000000000006
2017-10-01 08:00:00,14.9,15.4,168.0,457.99999999999994
2017-10-01 08:10:00,15.1,15.633,191.0,518.0
2017-10-01 08:20:00,15.8,18.0,337.0,1060.0
2017-10-01 08:30:00,15.7,19.6,320.0,992.0
2017-10-01 08:40:00,16.7,20.6,395.0,1267.0000000000002
2017-10-01 08:50:00,17.2,22.1,306.0,939.0
2017-10-01 09:00:00,16.5,21.0,296.00000000000006,1009.0000000000001
2017-10-01 09:10:00,16.5,20.4,333.99999999999994,1028.0
2017-10-01 09:20:00,17.1,27.2,789.0,2658.0
2017-10-01 09:30:00,16.7,25.7,396.0,1151.0
2017-10-01 09:40:00,17.0,25.3,419.0,1296.0
2017-10-01 09:50:00,17.8,24.5,445.0,1344.0
2017-10-01 10:00:00,17.4,21.8,293.0,861.0
2017-10-01 10:10:00,17.9,21.4,327.99999999999994,960.0
2017-10-01 10:20:00,17.65,20.85,273.99999999999994,795.0
2017-10-01 10:30:00,17.6,19.9,244.0,672.0
2017-10-01 10:40:00,17.7,20.167,260.0,732.0
2017-10-01 10:50:00,17.6,20.8,273.99999999999994,774.0
2017-10-01 11:00:00,18.3,21.3,306.0,859.0000000000001
2017-10-01 11:10:00,19.4,22.5,353.0,1038.0
2017-10-01 11:20:00,19.2,23.2,360.0,1081.0
2017-10-01 11:30:00,19.7,25.2,376.0,1127.0
2017-10-01 11:40:00,20.3,25.5,426.0,1318.0
2017-10-01 11:50:00,19.333,26.25,442.0,1371.0
2017-10-01 12:00:00,19.9,26.5,480.0,1580.0
2017-10-01 12:10:00,20.3,28.0,495.0,1632.0
2017-10-01 12:20:00,19.9,29.4,614.0,2150.0
2017-10-01 12:30:00,20.2,32.9,760.0,2650.0
2017-10-01 12:40:00,20.0,33.5,570.0,1943.0
2017-10-01 12:50:00,19.2,29.4,442.0,1553.0000000000002
2017-10-01 13:00:00,19.4,31.3,650.9999999999999,2205.0
2017-10-01 13:10:00,20.0,31.2,511.0,1705.0
2017-10-01 13:20:00,20.0,29.1,505.0,1663.0
2017-10-01 13:30:00,20.7,31.1,557.9999999999999,1876.0
2017-10-01 13:40:00,19.8,29.6,458.99999999999994,1654.0000000000002
2017-10-01 13:50:00,19.5,28.3,419.0,1381.0
2017-10-01 14:00:00,20.0,26.8,365.0,1252.0
2017-10-01 14:10:00,19.6,25.2,268.99999999999994,879.0
2017-10-01 14:20:00,19.5,24.1,260.0,885.9999999999999
2017-10-01 14:30:00,20.2,23.2,253.0,885.9999999999999
2017-10-01 14:40:00,20.2,22.6,289.0,1071.0
2017-10-01 14:50:00,20.1,26.8,424.0,1581.0
2017-10-01 15:00:00,20.9,28.8,442.99999999999994,1557.0
2017-10-01 15:10:00,19.7,27.1,302.0,987.0
2017-10-01 15:20:00,21.4,27.8,321.0,1140.0
2017-10-01 15:30:00,20.5,26.4,278.99999999999994,992.0
2017-10-01 15:40:00,21.467,25.6,281.0,996.0
2017-10-01 15:50:00,20.0,23.0,131.0,385.0
2017-10-01 16:00:00,20.05,20.0,106.0,318.0
2017-10-01 16:10:00,19.85,18.533,96.0,283.00000000000006
2017-10-01 16:20:00,19.55,17.333,68.0,201.0
2017-10-01 16:30:00,19.0,16.3,59.00000000000001,171.0
2017-10-01 16:40:00,18.7,15.5,42.0,129.0
2017-10-01 16:50:00,18.0,14.65,25.0,80.0
